physical_order	container_1	creator	title	date_expression	date	language	extent	physical_description	description	provenance	subject	spatial	format	ead_id	aspace_id	finding_aid_url	oclc_num	rl_number	dpc_id	barcode	Count	Capture Person	Capture Date	Capture Device	Capture Target	QC1 Person	QC1 Date	QC1 Station	Finalize Person	Finalize Date	Notes
11	folder 1	"Barrow, Middleton Pope, 1839-1903"	Middleton Pope Barrow letters	"1877, 1887"	1877/1887	eng	2 items		"Correspondence of Middleton Barrow, staff officer to Howell Cobb during the Civil War and later a lawyer. He completed the term of Benjamin Harvey Hill in the U.S. Senate. One letter concerns the interests of a divorced woman with certain investments; the other, the Richmond and Danville Railroad."		"Women -- Georgia -- Finance, Personal; Confederate States of America. Army -- Officers -- Correspondence; Richmond and Danville Railroad Company"			barrowmiddletonpopeletters-002050916	seca-979bd412-1338-4e04-8d5e-fba5c7f7996c	http://library.duke.edu/rubenstein/findingaids/barrowmiddletonpopeletters-002050916/	34122411	RL.30162	secst0156	D02483738Z	6	Alta Zhang	06/09/17	Zeutschel	secT0106	Alex Marsh	7/6/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
12	folder 1	"Barry, William T. (William Taylor), 1785-1835"	William T. Barry letters	1829-1830	1829/1830	eng	2 items		"Correspondence of William Barry, lawyer and postmaster general from 1829-1835. The letters concern Commodore David Porter and changes in the form of the new postal guide."		"Lawyers -- Washington (D.C.) -- Correspondence; Porter, David, 1780-1843; United States. Post Office Department -- Officials and employees"			barrywilliamtletters-002050917	seca-2f2df3a2-c18c-488e-a239-023eed1c6cc4	http://library.duke.edu/rubenstein/findingaids/barrywilliamtletters-002050917/	34122370	RL.30152	secst0157	D02483739-	4	Alta Zhang	06/09/17	Zeutschel	secT0107	Alex Marsh	7/6/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
13	folder 1	"Bartlett, Harriet F."	Harriet F. Bartlett letters	1899	1899/1899	eng	4 items		"Letters from Mrs. Bartlett concerning the estrangement between herself and her husband, her objections to a divorce, and personal financial matters."		Divorce -- 19th century; Women -- Colorado -- Correspondence; Women -- Family relationships; Women -- United States -- Conduct of life; Women -- Economic conditions			bartlettharrietfletters-002050919	seca-89498a89-0ace-483c-b94a-c8d880b99ea6	http://library.duke.edu/rubenstein/findingaids/bartlettharrietfletters-002050919/	34122416	RL.30165	secst0158	D02483740S	20	Alta Zhang	06/09/17	Zeutschel	secT0108	Alex Marsh	7/6/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
14	folder 1	"Bartlett, Levi"	Levi Bartlett papers	1809-1853 ;	1809/1853	eng	35 items		"Correspondence containing information on the American Antiquarian Society, local academies, politics, medicine, phrenology, and business affairs. There are also drafts of several letters on theology to the editor of the Universalist Magazine. One of the correspondents was Josiah Butler, U.S. Congressman from New Hampshire, 1817-1823."		"Phrenology; Physicians -- New Hampshire -- Kingston; Physicians -- Political and social views; Schools -- New Hampshire; Unitarianism -- New England; Butler, Josiah, 1779-1854,correspondent.; American Antiquarian Society; New Hampshire -- Politics and government -- 1775-1865"	New Hampshire		bartlettlevipapers-000887857	seca-1e6c20e2-825d-4158-aadf-84eb6843a6bc	http://library.duke.edu/rubenstein/findingaids/bartlettlevipapers-000887857/	20574463	RL.30149	secst0159	D02483741T	76	Alta Zhang	06/12/17	Zeutschel	secT0109	Alex Marsh	7/6/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
15	folder 1	"Barton, Clara, 1821-1912"	Clara Barton papers	1869	1821/1912	eng	3 items		"Diary and calling cards relating to Miss Barton's travels in Europe in 1869, primarily to Geneva, Switzerland, and Corsica, and to expenses and living conditions there. Includes references to Sir Edward Arnold, editor of the London Daily Telegraph; his wife, Fannie Marie Adelaide Channing Arnold; Thomasina M.A.E. Campbell; and Clarence Horace Upton, U.S. Consul in Geneva."	Purchase 1967	"Arnold, Edward; Arnold, Fannie Marie Adelaide Channing; Barton, Clara, 1821-1912; Campbell, Thomasina M. A. E.; Upton, Clarence Horace; Corsica (France) -- Description and travel; Geneva (Switzerland) -- Description and travel"	Corsica (France); Geneva (Switzerland)	Diaries	bartonclarapapers-000845025	seca-28ff77f5-5ec0-4c04-bc8a-de1ffc54665c	http://library.duke.edu/rubenstein/findingaids/bartonclarapapers-000845025/	19241558	RL.30151	secst0160	D03559596%	166	Alex Marsh	08/14/17	Phase One	secT0110	Alex Marsh	8/29/2017	LIB-DPCM03	Alex Marsh	8/29/2017	
16	folder 1	"Barton, Seth Maxwell, 1829-1900"	Seth Maxwell Barton papers	1862	1862/1862	eng	5 items		"Orders given under Gen. Barton's command at Fredericksburg, Va., to Col. C.J. Philips of the 52nd Georgia Regiment. Topics include depredations on private property and straggling; guards and pickets; and personnel matters."		"Philips, C. J.,correspondent.; Confederate States of America. Army. Georgia Infantry Regiment, 52nd.; Confederate States of America. Army -- Guard duty; Confederate States of America. Army -- Officers -- Correspondence; United States -- History -- Civil War, 1861-1865 -- Destruction and pillage; Virginia -- History -- Civil War, 1861-1865"	United States; Virginia		bartonsethmaxwellpapers-000887859	seca-83bce93b-a4de-4ded-aed0-84b1bffb3ecb	http://library.duke.edu/rubenstein/findingaids/bartonsethmaxwellpapers-000887859/	20574472	RL.30159	secst0161	D02483742U	14	Alta Zhang	06/12/17	Zeutschel	secT0111	Alex Marsh	7/6/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
17	folder 1	"Basden, William"	William Basden papers	1764-1859	1764/1859	eng	6 items		Papers concerning transfer of land by the Basden family and the renting of turpentine forest land; and the will of Erasmus H. Coston.		"Wills -- North Carolina; Turpentine industry and trade -- North Carolina; Land use -- North Carolina; Coston, Erasmus H.; Basden family"			basdenwilliampapers-002050920	seca-03ef4832-7ba7-4241-9423-9e9990cc1e96	http://library.duke.edu/rubenstein/findingaids/basdenwilliampapers-002050920/	34122431	RL.30147	secst0162	D02483743V	18	Alta Zhang	06/12/17	Zeutschel	secT0112	Alex Marsh	7/6/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
18	folder 1	"Baskerville, William"	William Baskerville papers	1799-1884	1799/1884	eng	101 items		"Early letters discuss crops and the curing of tobacco; many of the letters for 1802-1804 concern the education of his son, Charles, and of John R. Lucas, a student at the University of Edinburgh, Scotland. Topics of interest are: Lucas's recounting of Great Britain's preparation for war during the Napoleonic period; fluctuations of wheat prices; effect of approaching Civil War on price levels; Confederate action near Romney, Virginia, under General T.J. (""Stonewall"") Jackson; and lists of commodity prices."		"Tobacco industry -- Virginia; Napoleonic Wars, 1800-1815 -- Proposed invasion of England, 1793-1805; Baskerville, Charles; Jackson, Stonewall, 1824-1863; Lucas, John R.; University of Edinburgh; Great Britain -- History -- 1789-1820; Lombardy Grove (Va.); Mecklenburg County (Va.) -- History; Virginia -- History -- Civil War, 1861-1865; Virginia -- Economic conditions"	Great Britain; Lombardy Grove (Va.); Mecklenburg County (Va.); Virginia		baskervillewilliampapers-000844053	seca-7cbf5036-652a-49be-8b6b-79effb295924	http://library.duke.edu/rubenstein/findingaids/baskervillewilliampapers-000844053/	19210751	RL.30148	secst0163	D02483744W	282	Alta Zhang	06/14/17	Zeutschel	secT0113	Alex Marsh	7/10/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
19	folder 1	"Bayley, William Cole"	William Cole Bayley papers	1851-1853	1851/1853	eng	0.1 linear feet		"Collection includes statements, receipts, letters, and legal papers related to Bayley's work for the Manassas Gap Railroad Company."		"Railroads -- History -- 19th century; Bayley, William Cole; Manassas Gap Railroad Company; Virginia -- History -- 19th century"	Virginia		bayleywilliamcolepapers-003954095	seca-4043f77b-bd8f-493a-aec1-188ade8d6919	http://library.duke.edu/rubenstein/findingaids/bayleywilliamcolepapers-003954095/	794231469	RL.30154	secst0164	D03571455U	32	Alta Zhang	06/14/17	Zeutschel	secT0114	Alex Marsh	7/6/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
20	folder 1	"Baylor, Frances Courtenay, 1848-1920"	Frances Courtenay Baylor letter	1898	1898/1898	eng	1 item		Letter to Joseph Marshall Stoddard concerning literary matters.		"Literature, Modern -- 19th century; Women authors, American -- Virginia; Stoddard, Joseph Marshall,correspondent."			baylorfrancescourtenay-002050935	seca-90ec2a92-c623-4e7a-9778-8583a4d0ccc2	http://library.duke.edu/rubenstein/findingaids/baylorfrancescourtenay-002050935/	34122340	RL.30164	secst0165	D02483746Y	10	Alta Zhang	06/14/17	Zeutschel	secT0115	Alex Marsh	7/6/2017	LIB-DPCM03	Alex Marsh	8/24/2017	
